DATE;AMOUNT;COUNT
11/07/2016;13096;84
12/07/2016;13312;70
13/07/2016;14600;79
14/07/2016;11048;71
15/07/2016;13656;88
16/07/2016;13600;83
17/07/2016;12584;85
18/07/2016;17648;102
19/07/2016;24552;124
20/07/2016;16904;86
21/07/2016;19496;110
22/07/2016;17632;89
23/07/2016;16048;88
24/07/2016;13312;86
25/07/2016;11384;67
26/07/2016;7944;41
27/07/2016;19096;109
28/07/2016;14168;83
29/07/2016;22136;116
30/07/2016;21856;133
31/07/2016;13056;77
01/08/2016;19672;110
02/08/2016;22576;116
03/08/2016;26616;124
04/08/2016;19720;109
05/08/2016;18992;108
06/08/2016;10272;50
07/08/2016;7256;49
08/08/2016;13240;66
09/08/2016;19960;112
10/08/2016;17352;100
11/08/2016;17384;97
12/08/2016;8928;52
13/08/2016;14624;80
14/08/2016;10448;61
15/08/2016;14448;77
16/08/2016;14840;86
17/08/2016;10904;67
18/08/2016;22248;109
19/08/2016;17640;92
20/08/2016;13160;83
21/08/2016;15552;91
22/08/2016;9824;59
23/08/2016;14344;75
24/08/2016;20344;100
25/08/2016;16560;96
26/08/2016;7736;37
27/08/2016;11368;71
28/08/2016;14048;79
29/08/2016;12672;69
30/08/2016;22656;127
31/08/2016;18576;105
01/09/2016;18856;88
02/09/2016;18160;102
03/09/2016;24280;158
04/09/2016;13528;76
05/09/2016;22728;121
06/09/2016;13752;77
07/09/2016;14464;82
08/09/2016;14240;84
09/09/2016;13248;70
10/09/2016;15544;83
11/09/2016;8576;52
12/09/2016;2632;22
13/09/2016;5208;38
14/09/2016;14184;79
15/09/2016;9864;67
16/09/2016;13728;80
17/09/2016;18208;102
18/09/2016;13272;92
19/09/2016;18784;107
20/09/2016;17632;113
21/09/2016;13832;93
22/09/2016;14520;89
23/09/2016;15736;88
24/09/2016;19096;113
25/09/2016;10600;71
26/09/2016;13744;74
27/09/2016;13624;78
28/09/2016;16152;84
29/09/2016;13520;75
30/09/2016;14104;77
01/10/2016;12880;67
02/10/2016;15600;94
03/10/2016;11944;59
04/10/2016;13672;70
05/10/2016;15456;81
06/10/2016;12776;72
07/10/2016;9416;56
08/10/2016;15360;82
09/10/2016;12272;76
10/10/2016;9416;59
11/10/2016;9392;61
12/10/2016;13896;76
13/10/2016;15248;83
14/10/2016;10328;59
15/10/2016;17752;98
16/10/2016;14552;83
17/10/2016;9368;53
18/10/2016;14736;87
19/10/2016;16640;91
20/10/2016;13712;74
21/10/2016;12336;80
22/10/2016;18600;100
23/10/2016;10616;70
24/10/2016;14888;83
25/10/2016;16992;119
26/10/2016;21088;168
27/10/2016;18400;143
28/10/2016;15648;123
29/10/2016;29000;195
30/10/2016;9664;74
31/10/2016;22200;141
01/11/2016;31480;216
02/11/2016;21112;143
03/11/2016;25472;173
04/11/2016;17464;138
05/11/2016;25352;184
06/11/2016;24120;185
07/11/2016;16040;107
08/11/2016;16664;146
09/11/2016;14040;113
10/11/2016;15136;124
11/11/2016;18264;149
12/11/2016;24408;191
13/11/2016;21152;172
14/11/2016;18728;168
15/11/2016;15704;145
16/11/2016;14464;125
17/11/2016;22024;166
18/11/2016;24880;190
19/11/2016;25704;185
20/11/2016;18432;163
21/11/2016;19160;168
22/11/2016;24512;176
23/11/2016;18552;139
24/11/2016;23736;173
25/11/2016;23992;167
26/11/2016;4808;32
27/11/2016;20552;157
28/11/2016;24616;188
29/11/2016;25576;178
30/11/2016;22704;182
01/12/2016;25856;169
02/12/2016;16560;121
03/12/2016;20712;146
04/12/2016;30632;218
05/12/2016;14096;90
06/12/2016;11968;81
07/12/2016;22224;192
08/12/2016;21336;211
09/12/2016;19456;178
10/12/2016;23472;179
11/12/2016;23016;197
12/12/2016;4480;47
13/12/2016;20192;168
14/12/2016;20480;137
15/12/2016;20088;161
16/12/2016;20616;177
17/12/2016;26832;212
18/12/2016;10416;92
19/12/2016;18728;112
20/12/2016;31672;197
21/12/2016;15576;91
22/12/2016;13816;73
23/12/2016;21768;118
24/12/2016;26296;138
25/12/2016;17208;101
26/12/2016;22824;104
27/12/2016;17720;91
28/12/2016;17216;85
29/12/2016;21184;100
30/12/2016;22272;107
31/12/2016;23040;114
01/01/2017;10344;56
02/01/2017;13912;67
03/01/2017;13336;69
04/01/2017;12968;61
05/01/2017;12064;65
06/01/2017;15320;78
07/01/2017;17616;98
08/01/2017;15456;94
09/01/2017;14384;69
10/01/2017;14200;67
11/01/2017;10536;59
12/01/2017;10248;64
13/01/2017;13080;74
14/01/2017;16016;83
15/01/2017;11200;75
16/01/2017;7944;51
17/01/2017;10896;62
18/01/2017;17512;86
19/01/2017;15696;83
20/01/2017;13952;83
21/01/2017;13016;83
22/01/2017;15768;88
23/01/2017;13576;75
24/01/2017;13680;73
25/01/2017;13160;69
26/01/2017;14712;80
27/01/2017;14840;74
28/01/2017;21136;119
29/01/2017;17672;114
30/01/2017;15144;81
31/01/2017;19600;106
01/02/2017;19608;95
02/02/2017;14856;81
03/02/2017;15040;74
04/02/2017;21480;105
05/02/2017;17048;101
06/02/2017;10912;64
07/02/2017;11960;67
08/02/2017;9944;59
09/02/2017;11064;58
10/02/2017;9320;56
11/02/2017;16184;88
12/02/2017;11608;80
13/02/2017;4128;30
14/02/2017;10616;72
15/02/2017;8984;63
16/02/2017;11920;72
17/02/2017;17984;97
18/02/2017;4088;25
19/02/2017;13208;73
20/02/2017;15088;76
21/02/2017;15120;75
22/02/2017;15208;76
23/02/2017;12952;76
24/02/2017;9216;58
25/02/2017;17936;88
26/02/2017;14048;89
27/02/2017;15176;85
28/02/2017;18296;94
01/03/2017;14640;88
02/03/2017;21760;110
03/03/2017;15968;89
04/03/2017;16792;83
05/03/2017;15744;92
06/03/2017;14208;73
